Epoch:113	 lr:0.044	 duration:25.680	train_acc:48.11	train_loss:0.008923	 test_acc:0.01	 test_loss:83.880000
Epoch:114	 lr:0.042	 duration:24.823	train_acc:46.57	train_loss:0.008651	 test_acc:0.01	 test_loss:84.930000
Epoch:115	 lr:0.040	 duration:24.127	train_acc:47.55	train_loss:0.008627	 test_acc:0.01	 test_loss:84.360000
Epoch:116	 lr:0.038	 duration:24.689	train_acc:49.37	train_loss:0.008688	 test_acc:0.01	 test_loss:83.540000
Epoch:117	 lr:0.036	 duration:26.562	train_acc:46.98	train_loss:0.008987	 test_acc:0.01	 test_loss:85.340000
Epoch:118	 lr:0.035	 duration:24.799	train_acc:45.69	train_loss:0.008851	 test_acc:0.01	 test_loss:84.810000
Epoch:119	 lr:0.033	 duration:25.325	train_acc:48.32	train_loss:0.008644	 test_acc:0.01	 test_loss:85.250000
Epoch:120	 lr:0.031	 duration:23.549	train_acc:50.18	train_loss:0.008661	 test_acc:0.01	 test_loss:84.960000
Epoch:121	 lr:0.029	 duration:24.458	train_acc:46.99	train_loss:0.008852	 test_acc:0.01	 test_loss:84.390000
Epoch:122	 lr:0.027	 duration:26.005	train_acc:46.57	train_loss:0.008870	 test_acc:0.01	 test_loss:85.970000
Epoch:123	 lr:0.026	 duration:24.477	train_acc:47.92	train_loss:0.008287	 test_acc:0.01	 test_loss:85.650000
Epoch:124	 lr:0.024	 duration:25.468	train_acc:49.00	train_loss:0.008430	 test_acc:0.01	 test_loss:85.760000
Epoch:125	 lr:0.022	 duration:26.417	train_acc:47.84	train_loss:0.008354	 test_acc:0.01	 test_loss:85.980000
Epoch:126	 lr:0.021	 duration:24.977	train_acc:47.75	train_loss:0.008703	 test_acc:0.01	 test_loss:85.840000
Epoch:127	 lr:0.019	 duration:25.271	train_acc:49.43	train_loss:0.008344	 test_acc:0.01	 test_loss:85.720000
Epoch:128	 lr:0.018	 duration:24.862	train_acc:48.09	train_loss:0.008370	 test_acc:0.01	 test_loss:86.050000
Epoch:129	 lr:0.016	 duration:24.023	train_acc:49.96	train_loss:0.008316	 test_acc:0.01	 test_loss:86.860000
Epoch:130	 lr:0.015	 duration:23.655	train_acc:46.94	train_loss:0.008548	 test_acc:0.01	 test_loss:86.960000
Epoch:131	 lr:0.013	 duration:24.712	train_acc:48.11	train_loss:0.008364	 test_acc:0.01	 test_loss:87.070000
Epoch:132	 lr:0.012	 duration:25.104	train_acc:52.84	train_loss:0.008165	 test_acc:0.01	 test_loss:86.360000
Epoch:133	 lr:0.011	 duration:25.560	train_acc:50.36	train_loss:0.007925	 test_acc:0.01	 test_loss:86.520000
Epoch:134	 lr:0.010	 duration:26.709	train_acc:50.51	train_loss:0.008177	 test_acc:0.00	 test_loss:87.220000
Epoch:135	 lr:0.008	 duration:25.603	train_acc:52.31	train_loss:0.007878	 test_acc:0.01	 test_loss:86.930000
Epoch:136	 lr:0.007	 duration:26.673	train_acc:50.34	train_loss:0.008039	 test_acc:0.00	 test_loss:87.440000
Epoch:137	 lr:0.006	 duration:26.247	train_acc:48.82	train_loss:0.008059	 test_acc:0.01	 test_loss:86.460000
Epoch:138	 lr:0.005	 duration:24.472	train_acc:50.85	train_loss:0.008045	 test_acc:0.01	 test_loss:86.790000
Epoch:139	 lr:0.005	 duration:25.878	train_acc:49.89	train_loss:0.007995	 test_acc:0.01	 test_loss:87.280000
Epoch:140	 lr:0.004	 duration:25.973	train_acc:48.11	train_loss:0.008042	 test_acc:0.01	 test_loss:87.330000
Epoch:141	 lr:0.003	 duration:26.327	train_acc:49.58	train_loss:0.007871	 test_acc:0.00	 test_loss:87.270000
Epoch:142	 lr:0.002	 duration:23.713	train_acc:50.75	train_loss:0.008086	 test_acc:0.01	 test_loss:87.360000
Epoch:143	 lr:0.002	 duration:25.688	train_acc:52.60	train_loss:0.007820	 test_acc:0.00	 test_loss:87.760000
Epoch:144	 lr:0.001	 duration:25.699	train_acc:50.49	train_loss:0.007685	 test_acc:0.00	 test_loss:87.630000
Epoch:145	 lr:0.001	 duration:24.383	train_acc:53.64	train_loss:0.007714	 test_acc:0.00	 test_loss:88.110000
Epoch:146	 lr:0.001	 duration:26.431	train_acc:55.70	train_loss:0.008030	 test_acc:0.00	 test_loss:87.540000
Epoch:147	 lr:0.000	 duration:25.436	train_acc:51.24	train_loss:0.007868	 test_acc:0.01	 test_loss:87.420000
Epoch:148	 lr:0.000	 duration:25.610	train_acc:49.17	train_loss:0.007865	 test_acc:0.01	 test_loss:87.470000
Epoch:149	 lr:0.001	 duration:28.504	train_acc:51.04	train_loss:0.007851	 test_acc:0.01	 test_loss:87.400000
